file,window,start_time_s,load_A,load_voltage_V,psu_current_A,load_power_W,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
healthy_cc_01A.csv,0,0.0,0.1,10.48,0.92,1.04,-0.9257825,2.522369200819688,2.522369200819688,4.3630175,7.908099999999999,1.7297299295369453,1.5201845,2.3575817053306447,2.3575817053306443,3.8987845,6.8378,1.6537219012111424,10.905412500000002,5.206592166733798,5.206592166733798,9.185487499999999,16.1752,1.764203380224083,6.247330619812534,1.7481118203306503,9.588830788380966,6.825757676843244,1479.14,8.521173628086686,1479.1645445994168,1463,1518,55,98.0,94.40200631538858,21290.945291242435,69.03439160840664
healthy_cc_01A.csv,1,1.0,0.1,10.48,0.92,1.04,-0.9514225,2.1642358564037676,2.1642358564037676,3.9099774999999997,7.012599999999999,1.8066318827639551,1.5184755,2.370404408545038,2.3704044085450375,3.9138755,7.2341,1.6511425163954832,10.865445,5.156749035601306,5.156749035601306,9.078255,16.034,1.7604608906358041,6.0741085369269205,1.8993635121889514,9.560644022785887,7.410487463595022,1478.7,8.224354077980834,1478.722871264254,1459,1497,38,98.0,109.16687863621503,28418.249647954326,72.4137176312946
healthy_cc_01A.csv,2,2.0,0.1,10.48,0.92,1.04,-0.9528439999999999,2.0623993670635183,2.0623993670635183,3.6380560000000006,6.523000000000001,1.7639920076100153,1.5365915,2.397405187171695,2.397405187171695,3.8254915,7.2126,1.5956799962183572,10.809231,5.238221208419801,5.238221208419801,9.079369,16.1094,1.7332923980770463,6.118823760256603,2.013601540607771,9.65309431676026,7.664051809856687,1479.42,8.110708970244216,1479.4422327350264,1459,1500,41,98.0,117.15238461233055,32128.912229166664,70.26319038396778
healthy_cc_01A.csv,3,3.0,0.1,10.48,0.92,1.04,-0.9710399999999999,2.093474494088715,2.093474494088715,3.6748600000000002,6.7073,1.755387997502047,1.5389265,2.4024105256695307,2.4024105256695307,3.8325265,7.2316,1.5952837614761568,10.831722,5.237775866454769,5.2377758664547684,9.068878000000002,16.1321,1.7314368218925615,6.130946731008494,1.999130258330618,9.64845846177441,7.563753682774216,1478.6,9.016096716428901,1478.6274885852758,1440,1525,85,98.0,115.97878978848927,29951.927978332176,72.6584571970867
healthy_cc_01A.csv,4,4.0,0.1,10.48,0.92,1.04,-0.9780510000000001,2.0478847687306527,2.0478847687306527,3.6798489999999995,7.0054,1.796902372725245,1.5222915000000001,2.3699151502274822,2.3699151502274822,3.9679915,7.6507000000000005,1.674317960125755,10.8793605,5.253875601305168,5.253875601305168,9.146939499999998,16.283,1.740988975400886,6.116660745804568,1.989129318193555,9.78123499985219,7.65253510709288,1478.76,8.138943420370975,1478.7823977854212,1460,1503,43,98.0,121.35578020937197,29239.20720960143,72.28754483868043
healthy_cc_01A.csv,5,5.0,0.1,10.48,0.92,1.04,-1.0095750000000001,2.1120259556821264,2.1120259556821264,3.661525,6.9444,1.7336553038797424,1.5040139999999997,2.408741573582355,2.408741573582355,3.8383139999999996,7.5393,1.5934934831101621,10.877049000000001,5.238604145542876,5.238604145542876,9.127750999999998,16.2148,1.7424013623488037,6.140493709749893,2.0579320964324523,9.701629845001404,7.68392777858476,1478.81,8.853468246964011,1478.8365021191491,1462,1515,53,98.0,121.65323531011087,30698.525275594067,70.56054252695668
healthy_cc_01A.csv,6,6.0,0.1,10.48,0.92,1.04,-0.921848,2.06210918304439,2.06210918304439,3.673852,6.6164000000000005,1.7815991656543217,1.52865,2.413336582928291,2.413336582928291,3.8187499999999996,7.5573,1.5823528417102972,10.880139999999999,5.215725028373332,5.215725028373332,9.15216,16.3249,1.7547244055644464,6.105757554709817,2.139665895750245,9.853120247292429,8.202735673441836,1478.895,9.388502276721246,1478.9248003194753,1447,1529,82,98.0,127.95946383105859,32626.611742164092,71.56947281658003
healthy_cc_01A.csv,7,7.0,0.1,10.48,0.92,1.04,-0.990908,1.9029909790211827,1.9029909790211827,3.4048920000000003,6.304,1.7892318132539604,1.5389055000000003,2.468113518665572,2.468113518665572,3.9906055000000005,7.564500000000001,1.6168646497903345,10.8467825,5.224946467404595,5.224946467404595,9.0646175,16.1968,1.7348727985155221,6.083833051169263,2.062137774375413,9.792330526994098,7.8781886585839995,1479.09,8.948290339500613,1479.1170677130326,1443,1520,77,98.0,131.27146186133788,34600.43618249006,72.9327293266215
healthy_cc_01A.csv,8,8.0,0.1,10.48,0.92,1.04,-1.0022355000000003,2.009246434161263,2.009246434161263,3.4282645,6.840300000000001,1.7062439139931036,1.5313335000000001,2.4742088305209307,2.4742088305209307,4.0524335,7.606400000000001,1.6378704376165303,10.824218499999999,5.298476420689984,5.298476420689984,9.2750815,16.4266,1.7505185950779736,6.183254236308358,2.113363428480625,9.91681640175539,7.803414702261243,1478.855,9.538027835983705,1478.8857579272308,1443,1501,58,98.0,121.9725879023113,34033.80618343802,73.17807294281964
healthy_cc_01A.csv,9,9.0,0.1,10.48,0.92,1.04,-0.9564705000000001,2.2242718131738646,2.2242718131738646,3.9528295,7.5058,1.7771341958245728,1.5212459999999999,2.464631422704823,2.464631422704823,4.097446,7.6639,1.6624984824315985,10.858269999999997,5.328663408745199,5.328663408745198,9.400230000000004,16.590600000000002,1.7640877794181382,6.278251896217907,2.0481743877513323,10.01266621213782,7.76097966719284,1478.88,7.608258670681486,1478.899570626755,1463,1496,33,98.0,116.73960722552538,30809.72362252307,70.72051319405777
healthy_cc_01A.csv,10,10.0,0.1,10.48,0.92,1.04,-0.938335,2.470971468324756,2.470971468324756,4.121765,7.9619,1.6680747037497896,1.5048035,2.5139667741316214,2.5139667741316214,4.0283035,7.536999999999999,1.602369427253653,10.901275,5.433225682987501,5.433225682987501,9.455425,16.8109,1.7402967503460782,6.476547711627527,1.968489632452066,10.089415728047003,7.222944224008938,1479.855,11.314326095707159,1479.8982515700193,1435,1527,92,98.0,109.73850198310933,28002.516427933297,69.839592554006
healthy_cc_01A.csv,11,11.0,0.1,10.48,0.92,1.04,-0.9671349999999999,2.6324742951783975,2.6324742951783975,4.337265,8.4755,1.6476001334349488,1.5146449999999998,2.4787891670884394,2.4787891670884394,4.045344999999999,7.5717,1.6319842985079769,10.8549305,5.437637506060859,5.437637506060859,9.6418695,17.0049,1.7731725384880939,6.530100940794847,1.9425553353325584,10.213616346930221,7.153872786682035,1478.04,8.391567195703077,1478.063821355492,1454,1497,43,98.0,108.21877800544404,27756.49844621812,69.23939364664302
healthy_cc_01A.csv,12,12.0,0.1,10.48,0.92,1.04,-0.9160765000000001,2.7613619012360098,2.7613619012360098,4.9892235000000005,9.7133,1.8067981229721393,1.5412580000000002,2.459981590792094,2.459981590792094,4.186858,7.598,1.7019875334318522,10.833231500000002,5.42359066759815,5.423590667598151,9.837068499999999,17.0096,1.8137557022452004,6.564447022125435,1.8609565306277522,10.416689921016584,7.177825753193472,1478.86,8.569153983912297,1478.8848264824412,1439,1497,58,98.0,103.94523236132537,26402.560089208448,68.21643096946092
healthy_cc_01A.csv,13,13.0,0.1,10.48,0.92,1.04,-0.9288605,3.0934711920736793,3.0934711920736793,4.9451605,9.865300000000001,1.5985797807559534,1.5342545,2.455786896939502,2.455786896939502,4.0481545,8.0577,1.6484144064148925,10.844531000000002,5.589387212095705,5.589387212095705,10.235168999999997,17.591299999999997,1.8311790920211424,6.8440998462988905,1.8315943619436086,10.829648170554362,7.282532940343833,1478.415,8.49545613843071,1478.4394086333061,1461,1513,52,99.0,108.4853648420875,26389.090491527586,69.50831242916139
healthy_cc_01A.csv,14,14.0,0.1,10.48,0.92,1.04,-0.9261404999999999,2.991801607327891,2.991801607327891,4.8917595,9.2847,1.6350547736917105,1.5091785,2.5115147006115155,2.5115147006115155,3.9847785,7.9643,1.5866036933925838,10.903573,5.5436158587938795,5.5436158587938795,9.548927,16.9103,1.72250878185444,6.781611883532447,1.8369975056008334,10.217834140943545,6.825197432418522,1478.34,9.310445746579486,1478.3693178634355,1429,1507,78,98.0,99.51763965130334,24997.497110185428,72.0346549448723
healthy_cc_01A.csv,15,15.0,0.1,10.48,0.92,1.04,-0.973525,2.904794728595293,2.904794728595293,4.755775,9.2524,1.6372155158446628,1.5156209999999999,2.5178340310590372,2.5178340310590372,4.008020999999999,7.793199999999999,1.5918527395207889,10.855419499999998,5.446540913118137,5.446540913118137,9.606580500000002,16.9401,1.763794792555822,6.666492971683369,1.8549017775079326,10.224355772294226,6.3093097066206365,1478.15,10.031824360503926,1478.1840413155596,1429,1520,91,98.0,104.80101254933601,26055.864425754353,70.67172247366327
healthy_cc_01A.csv,16,16.0,0.1,10.48,0.92,1.04,-0.9410480000000001,2.9659806088199563,2.9659806088199567,4.828951999999999,9.2907,1.628113139256579,1.547725,2.5145167342801678,2.5145167342801678,4.243875,8.449200000000001,1.6877497541152362,10.8286995,5.525768438620076,5.525768438620076,9.6860005,17.0635,1.752878465247241,6.756770842356631,1.8495996098875276,10.402347308585176,6.553770697923872,1478.42,8.097752774690026,1478.4421767522733,1459,1511,52,99.0,99.23724245974195,24526.1320095033,71.59323424044953
healthy_cc_01A.csv,17,17.0,0.1,10.48,0.92,1.04,-1.0011405,2.794632830357102,2.794632830357102,5.7720595,10.881599999999999,2.0654088928249075,1.5208769999999998,2.6754333931292327,2.675433393129233,4.587877,9.1495,1.7148163777061702,10.847468,5.09928824993018,5.09928824993018,9.515232000000001,16.5655,1.8659921804048407,6.400832535964111,1.9023005215903432,10.591301201438531,7.870236265463417,1478.955,8.139593048795499,1478.9773984074266,1459,1498,39,98.0,111.34547446634916,26071.754620718166,60.589207838527614
healthy_cc_01A.csv,18,18.0,0.1,10.48,0.92,1.04,-0.9430965,2.6229908930146424,2.6229908930146424,4.9933035,9.0848,1.9036678752098608,1.5090579999999998,2.6881322792667777,2.6881322792667777,4.403442,8.610800000000001,1.6381046550287677,10.894833,5.088170276967055,5.088170276967055,8.842967,15.7431,1.737946357658277,6.324208499336874,1.9302794703289494,9.772856891127857,7.523332836941004,1478.21,8.76846052622694,1478.236006191163,1433,1496,63,98.0,110.35666578689467,25940.72715675036,70.45088881934014
healthy_cc_01A.csv,19,19.0,0.1,10.48,0.92,1.04,-1.0053205,2.62694181161855,2.62694181161855,4.7251795,8.3067,1.7987377866922196,1.5065425,2.6800238297343086,2.6800238297343086,4.3700425,8.5964,1.6305983743559609,10.868523500000002,5.142372152722686,5.142372152722686,8.5699765,15.536000000000001,1.6665414803676801,6.366108887434399,1.8956448343847678,9.60104237393413,6.8932468439173675,1478.185,10.125748120509417,1478.2196808999668,1438,1513,75,98.0,106.95185077204748,27854.146807212983,74.75466683504794
healthy_cc_02A.csv,0,0.0,0.2,10.08,1.01,2.01,-0.8610235000000002,10.588250760545755,10.588250760545755,16.3491235,31.8285,1.5440816306429552,1.5120870000000002,3.341230472240878,3.341230472240878,6.141287,10.993,1.838031542876836,10.8007445,5.901235099593114,5.901235099593114,8.1625555,16.283,1.383194426631605,12.573760413555624,3.131064553208472,18.066949974184947,9.987719157566232,1497.83,10.752725235957627,1497.8685957052442,1469,1548,79,98.0,185.01646322915047,75706.32357400178,72.78222027540541
healthy_cc_02A.csv,1,1.0,0.2,10.08,1.01,2.01,-0.9640244999999998,10.583445778792923,10.583445778792923,16.2689245,31.4753,1.5372048801534584,1.5482190000000002,3.2478593680975476,3.2478593680975476,6.082819000000001,10.8278,1.8728701925179252,10.787570999999998,5.839542746410801,5.839542746410801,8.053629000000003,16.0807,1.3791540450577333,12.516316331682727,3.089359703548331,18.11278216619971,10.053750710553057,1498.24,10.291375029606103,1498.2753451885937,1445,1541,96,98.0,188.2987354693727,67896.3094072255,73.21152133918943
healthy_cc_02A.csv,2,2.0,0.2,10.08,1.01,2.01,-0.9278629999999999,10.244380904814648,10.244380904814648,15.662963,30.638599999999997,1.5289321185469325,1.5068985000000001,3.271062729534203,3.271062729534203,5.912198500000001,10.6973,1.8074243720914192,10.7795235,5.6043588172687295,5.6043588172687295,8.000576500000001,15.915400000000002,1.4275632165713226,12.126666040432402,2.7361005317541314,17.117234518902976,8.923923857209285,1498.63,9.283485336876447,1498.6587536861084,1477,1523,46,98.0,183.5342061733995,60546.684126608496,72.22656880537068
healthy_cc_02A.csv,3,3.0,0.2,10.08,1.01,2.01,-0.9548829999999998,10.227344475410566,10.227344475410565,15.359583,29.832900000000002,1.5018153575377062,1.5196154999999998,3.112320919942182,3.112320919942182,5.8447154999999995,10.5201,1.8779282889980953,10.8198265,5.521203496516656,5.521203496516656,7.7624265,15.303700000000001,1.4059301572378808,12.03199088170235,2.6722566040935662,16.562287382461143,8.270913655591059,1497.895,9.77875119838929,1497.9269191118772,1478,1544,66,98.0,170.60731329395338,50984.46648338772,71.40201270382869
