feature,fault_id,healthy_median,fault_median,robust_effect,abs_robust_effect
ax_crest,F1,1.5798607830966114,1.3849578223443098,-10.670647993371475,10.670647993371475
az_mean,F1,10.812233499999998,10.8562025,4.019104204752863,4.019104204752863
ay_p2p,F1,5.5821000000000005,5.0578,-2.687339825730383,2.687339825730383
spectral_centroid_Hz,F1,67.74798235906188,64.06490304804257,-2.269688750105518,2.269688750105518
ay_std,F1,1.8046964936808627,1.6423465791299197,-2.0501777898951365,2.0501777898951365
ay_rms,F1,1.8046964936808627,1.6423465791299197,-2.0501777898951365,2.0501777898951365
ay_peak,F1,3.1911555,2.8942105,-1.8649336946657438,1.8649336946657438
dominant_frequency_Hz,F1,97.0,94.0,-1.5,1.5
acc_mag_p2p,F1,2.974917414660128,3.36670498884978,1.479056478878386,1.479056478878386
az_crest,F1,1.5943036926464842,1.6838629354457315,1.4067084366425513,1.4067084366425513
rpm_min,F1,2908.67,2813.34,-1.1652609705414985,1.1652609705414985
spectral_energy,F1,5377.151765203438,6157.321925109031,1.1336918112003003,1.1336918112003003
rpm_median,F1,2910.93,2819.68,-1.1082098615496763,1.1082098615496763
acc_mag_std,F1,0.8400849782881068,0.8938377157319337,0.9780037999581931,0.9780037999581931
az_std,F1,1.3764548541662198,0.999218669670333,-0.9270627775512795,0.9270627775512795
az_rms,F1,1.37645485416622,0.999218669670333,-0.9270627775512795,0.9270627775512795
ay_mean,F1,1.5316900000000002,1.518087,-0.8714006598122989,0.8714006598122989
acs_mean,F1,1447.08,1395.285,-0.8514013314703677,0.8514013314703677
acs_rms,F1,1447.112818684155,1395.2975901219063,-0.8504091282484129,0.8504091282484129
acs_min,F1,1429.0,1383.0,-0.8214285714285714,0.8214285714285714
acs_std,F1,9.253916738333018,6.004812653197433,-0.7117749905139323,0.7117749905139323
rpm_std,F1,0.8390491269884461,1.026764452053126,0.7102479706539927,0.7102479706539927
rpm_cv_percent,F1,0.028725944249811,0.0349423544193918,0.6860509713284314,0.6860509713284314
acs_max,F1,1477.0,1419.0,-0.6590909090909091,0.6590909090909091
az_peak,F1,2.333553000000002,1.875031,-0.6475000776680425,0.6475000776680425
rpm_p2p,F1,3.269999999999982,3.799999999999727,0.6091954022983158,0.6091954022983158
rpm_mean,F1,2910.71495,2862.3299,-0.589789227413678,0.589789227413678
dominant_amplitude,F1,51.24126726776498,52.787906559095234,0.5631627797870865,0.5631627797870865
acs_p2p,F1,47.0,38.0,-0.5294117647058824,0.5294117647058824
az_p2p,F1,4.398199999999999,3.720600000000001,-0.5250271191693776,0.5250271191693776
acc_mag_peak,F1,4.538930574523173,4.7094470214907656,0.26042079491790504,0.26042079491790504
ax_mean,F1,-0.926533,-0.9291855,-0.2130778808691772,0.2130778808691772
ax_p2p,F1,7.8039,8.072,0.21168574812475296,0.21168574812475296
ax_std,F1,2.570335263824352,2.65798505458698,0.1954031350162738,0.1954031350162738
ax_rms,F1,2.570335263824352,2.65798505458698,0.1954031350162738,0.1954031350162738
ay_crest,F1,1.7657091881655558,1.762884412962343,-0.09916425026042212,0.09916425026042212
