rms_current,kurtosis_current,mean_speed,std_speed,spectral_entropy_current,peak_frequency_current,motor_id,condition,fault_type
0.07804800706576373,5.864001283476924,-3.8072265625000004,1.09308235133243,2.8744737304270638,0.0,MOTOR_BLDC_001,Healthy,None
0.04747696348954401,3.4714755270649817,-3.8638671875000004,1.120928346220596,3.4784019329597613,0.0,MOTOR_BLDC_001,Healthy,None
4.295856070033604,1.6778667610230527,5041.0111718749995,4861.033479443974,1.0231538936632205,0.0,MOTOR_BLDC_001,Healthy,None
6.777568460928927,1.719515918906097,19738.395654296874,2382.2005154753897,0.49870838553509333,0.0,MOTOR_BLDC_001,Healthy,None
3.258273476169329,2.61162310942143,21466.421845703127,463.71270734995375,0.47379019972822967,0.0,MOTOR_BLDC_001,Healthy,None
3.2452203858816064,2.7470699667359084,21448.242109375,480.46283310161976,0.37510338047529296,0.0,MOTOR_BLDC_001,Healthy,None
3.203042114244324,2.67416104760687,21393.64634765625,508.28825990068987,0.4658621267117287,0.0,MOTOR_BLDC_001,Healthy,None
3.3706420760234153,2.6126808062961118,21393.965185546873,514.7105132358503,0.41946791047921705,0.0,MOTOR_BLDC_001,Healthy,None
3.3597984583474276,2.7108320548171267,21501.965927734374,482.6978902943819,0.4199755383735627,0.0,MOTOR_BLDC_001,Healthy,None
3.23790004509078,2.733727911629223,21451.234375,470.1164329722861,0.47299700520246624,0.0,MOTOR_BLDC_001,Healthy,None
3.234135830580578,2.5453575820874654,21475.690439453123,463.70267231198864,0.4649349692803798,0.0,MOTOR_BLDC_001,Healthy,None
3.269295636702346,2.701926654290524,21577.355166015626,447.4866661019465,0.4229372401440217,0.0,MOTOR_BLDC_001,Healthy,None
3.3071940986999087,2.7062706887667685,21660.852265625,448.9271443352906,0.42407741041598085,0.0,MOTOR_BLDC_001,Healthy,None
3.2880109693549913,2.664669221888467,21597.37375976562,444.999778502869,0.4111999368829492,0.0,MOTOR_BLDC_001,Healthy,None
3.344200344677652,2.646709632710171,21713.64630859375,466.8065515150255,0.42852565789314345,0.0,MOTOR_BLDC_001,Healthy,None
3.2475360849302257,2.790271034744337,21768.59818359375,487.32575834036635,0.41811274470825355,0.0,MOTOR_BLDC_001,Healthy,None
3.277313317352054,2.514874506044633,21853.52708007812,501.06058339466915,0.425688881736488,0.0,MOTOR_BLDC_001,Healthy,None
