timestamp_ms,ax,ay,az,acs_adc
18571,-7.4843,-2.1153,16.8133,1511
18576,-13.362,1.0295,6.2944,1516
18581,-0.3627,6.2225,4.5059,1516
18586,12.2882,3.371,15.4641,1513
18591,-1.9237,-4.2413,16.9928,1519
18596,-11.5772,-0.1401,7.7309,1509
18601,-4.7657,6.2764,4.3263,1501
18606,11.8286,4.9656,13.8181,1519
18611,5.0889,-5.3008,16.4242,1510
18616,-9.8545,0.1149,9.5313,1519
18621,-9.6223,5.2517,4.2162,1525
18626,7.6986,5.2086,10.7009,1513
18631,9.8222,-3.4141,16.0819,1516
18636,-10.58,-0.6081,12.3936,1519
18641,-11.7088,3.5015,5.2732,1519
18646,6.7277,6.1447,8.0828,1513
18651,13.4841,-1.3958,15.3588,1496
18656,-8.9016,-1.1779,16.0208,1509
18661,-13.6565,1.7789,5.6695,1513
18666,1.409,5.9508,5.0242,1525
18671,12.7886,2.3918,16.0316,1499
18676,-4.5765,-3.4656,16.8851,1517
18681,-11.8034,0.3579,7.118,1519
18686,-2.399,6.4991,4.3826,1501
18691,12.621,4.1515,14.7543,1527
18696,1.9668,-5.1619,16.7941,1509
18701,-10.422,0.1377,8.357,1524
18706,-7.7871,5.7856,3.8858,1511
18711,8.8083,4.9991,12.2212,1502
18716,7.8542,-4.3814,16.2387,1517
18721,-10.7212,-0.3795,11.0121,1519
18726,-10.8469,4.4353,4.883,1511
18731,7.9188,5.9209,9.4679,1524
18736,12.6857,-2.8934,15.3792,1497
18741,-9.6462,-0.401,14.6681,1529
18746,-13.5201,2.551,5.3666,1509
18751,2.8168,5.7114,6.1148,1509
18756,13.0352,0.9242,16.2135,1512
18761,-6.7253,-2.6372,16.4877,1507
18766,-12.4199,1.0139,6.5565,1509
18771,-0.2442,6.3949,4.8411,1507
18776,13.1741,3.1184,15.3564,1503
18781,-1.0965,-4.6208,17.0419,1519
18786,-10.829,0.3196,7.4687,1513
18791,-5.8466,6.2189,3.9169,1523
18796,9.9527,4.7214,13.5895,1491
18801,5.363,-4.877,16.3919,1510
18806,-10.7739,-0.1544,9.8138,1524
18811,-9.5421,5.1583,4.5526,1501
18816,9.1255,5.7473,10.8326,1510
18821,11.3138,-3.9385,15.6042,1503
18826,-9.7121,0.1257,13.1693,1509
18831,-12.8353,3.4117,5.0159,1519
18836,4.3922,5.4863,7.1527,1480
18841,12.9012,-0.3089,16.0986,1503
18846,-8.4264,-1.7705,15.5958,1512
18851,-12.5887,1.5874,6.0956,1515
18856,1.8411,6.3243,5.5294,1495
18861,13.7655,2.1548,15.4869,1505
18866,-4.0666,-3.7553,17.3592,1523
18871,-11.8082,0.3519,6.6834,1519
18876,-3.6416,6.2991,3.9097,1503
18881,10.7416,4.4269,14.5603,1517
18886,2.6899,-4.9632,16.8348,1501
18891,-11.1247,-0.2957,8.7221,1531
18896,-7.7943,5.6946,4.3515,1495
18901,10.1478,5.6228,12.2703,1510
18906,9.2787,-4.8399,15.7323,1541
18911,-9.5804,0.231,11.6657,1507
18916,-11.9255,4.1611,4.6974,1524
18921,5.6623,5.4564,8.6862,1511
18926,12.0213,-1.6891,15.8843,1493
18931,-9.4391,-1.1265,14.5699,1529
18936,-12.6055,2.3403,5.7138,1517
18941,3.9444,6.2632,6.45,1507
18946,13.8912,0.7661,15.3504,1495
18951,-6.6152,-2.6097,17.1173,1514
18956,-12.8976,0.7578,6.3351,1517
18961,-1.3312,6.3398,4.1743,1515
18966,11.9327,3.699,15.3947,1515
18971,-0.4633,-4.5933,16.8911,1515
18976,-11.4994,-0.073,7.92,1517
18981,-5.7413,6.1543,4.2006,1519
18986,11.2946,5.1523,13.5093,1499
18991,6.365,-5.4336,16.1393,1503
18996,-9.6295,0.2801,10.1287,1527
19001,-10.5153,5.017,4.3431,1509
19006,6.9683,5.3235,10.2651,1527
19011,10.5465,-3.1651,15.9753,1515
19016,-10.1155,-0.6393,13.0113,1510
19021,-12.135,3.207,5.3654,1523
19026,5.7772,6.1327,7.6579,1511
19031,13.6218,-0.9469,15.3827,1517
19036,-8.4108,-1.488,16.2638,1503
19041,-13.4291,1.5,5.9448,1519
19046,0.6369,6.195,4.8794,1527
19051,12.6306,2.6085,15.8005,1502
19056,-3.3722,-3.9109,16.781,1526
19061,-12.0117,0.3232,7.2532,1516
19066,-3.3854,6.3985,4.4089,1516
19071,12.1506,4.4365,14.4634,1516
19076,3.3267,-5.381,16.6062,1507
19081,-9.8653,0.2634,8.7975,1527
19086,-8.5365,5.6767,4.0342,1499
19091,8.2157,5.0374,11.7747,1508
19096,8.843,-4.1623,16.1884,1509
19101,-10.6063,-0.3328,11.5652,1509
19106,-11.2288,4.1839,4.9356,1543
19111,7.2868,5.8909,8.9759,1513
19116,13.2208,-2.3511,15.4606,1523
19121,-9.4296,-0.662,15.2223,1519
19126,-13.7463,2.2996,5.5402,1503
19131,2.4134,5.8143,5.6719,1531
19136,13.0747,1.4557,16.1453,1469
19141,-5.8754,-3.0646,16.6672,1513
19146,-12.5827,0.7614,6.7217,1513
19151,-0.8511,6.3913,4.6819,1507
19156,13.0496,3.6871,15.0907,1509
19161,-0.0599,-4.8806,17.1856,1516
19166,-10.5848,0.1987,7.6734,1525
19171,-6.3087,6.0142,3.7481,1529
19176,9.2608,4.9931,13.1166,1499
19181,6.3231,-4.7633,16.4925,1507
19186,-10.7895,-0.4022,10.1778,1523
19191,-9.9264,4.8698,4.6424,1507
19196,8.6479,5.8227,10.5082,1530
19201,11.8417,-3.6811,15.4641,1503
19206,-9.6798,-0.0658,13.7571,1519
19211,-13.2459,3.0382,5.1284,1512
19216,3.8535,5.5737,6.8378,1509
19221,12.9036,0.0455,16.1261,1511
19226,-7.8135,-1.9764,15.876,1507
19231,-12.5708,1.3671,6.3255,1509
19236,1.3168,6.3111,5.296,1515
19241,13.5967,2.4217,15.3827,1499
19246,-3.3291,-3.9301,17.255,1507
19251,-11.7962,0.3543,7.1024,1517
19256,-4.1934,6.2501,3.9444,1499
