timestamp_ms,ax,ay,az,acs_adc
46427,-14.0983,5.2553,3.9061,1525
46432,6.8426,3.8966,7.4412,1497
46437,13.8098,-2.575,17.7614,1480
46442,-9.5385,0.2562,14.4334,1512
46447,-15.4474,4.4903,4.4592,1493
46452,5.4241,4.4161,6.1196,1491
46457,14.637,-1.5526,17.6105,1495
46462,-8.7532,-0.4944,15.7898,1495
46467,-15.9035,3.6356,4.9979,1500
46472,3.8475,4.9285,5.0254,1503
46477,14.8249,-0.4836,17.3017,1477
46482,-7.434,-1.4126,16.8516,1496
46487,-15.6042,2.8036,5.6264,1495
46492,2.0758,5.4025,4.1563,1485
46497,14.4598,0.34,16.6421,1481
46502,-5.5306,-2.3056,17.6309,1499
46507,-14.7243,2.1428,6.2489,1496
46512,0.1233,5.7736,3.541,1495
46517,13.8708,1.069,15.9226,1491
46522,-2.9808,-3.158,18.1804,1506
46527,-13.7906,1.579,6.8402,1501
46532,-2.1033,6.0501,3.322,1485
46537,12.979,1.6436,14.7758,1503
46542,0.097,-3.9193,18.2869,1491
46547,-12.645,1.2653,7.5669,1494
46552,-4.3646,6.1459,2.9221,1499
46557,12.0201,2.162,13.5428,1493
46562,3.7014,-4.3395,18.5251,1548
46567,-11.3737,1.1696,8.7137,1501
46572,-7.082,6.2429,2.9125,1491
46577,10.6949,2.5139,11.8058,1483
46582,7.0677,-4.4388,18.415,1507
46587,-10.6901,1.0463,9.7205,1497
46592,-9.4703,6.1196,3.0406,1495
46597,9.3733,3.0442,10.4926,1499
46602,10.1251,-4.1994,18.3863,1484
46607,-10.0329,1.0546,11.2384,1496
46612,-12.0021,5.8179,3.2441,1510
46617,8.0266,3.4177,8.6526,1485
46622,12.5767,-3.5111,18.4425,1469
46627,-9.7336,0.7602,12.7276,1498
46632,-14.109,5.4289,3.6416,1508
46637,6.6212,3.9576,7.3346,1501
46642,14.1222,-2.7031,18.1397,1493
46647,-9.4248,0.3005,14.3305,1513
46652,-15.5228,4.7393,4.2246,1497
46657,5.1667,4.4807,6.0849,1486
46662,15.178,-1.8064,17.9386,1483
46667,-8.7891,-0.4226,15.7945,1491
46672,-16.2818,4.0103,4.6699,1491
46677,3.5674,4.9249,4.8997,1511
46682,15.4881,-0.7111,17.5016,1479
46687,-7.3765,-1.3791,17.3113,1487
46692,-16.289,3.0957,5.2984,1509
46697,1.7083,5.3367,3.9684,1481
46702,15.129,0.2909,16.7055,1491
46707,-5.3091,-2.5271,18.2235,1511
46712,-15.6557,2.2075,5.9735,1495
46717,-0.2622,5.6012,3.2848,1506
46722,14.3209,1.2127,15.7718,1517
46727,-2.5055,-3.5123,18.81,1501
46732,-14.2838,1.5682,6.7912,1496
46737,-2.5809,5.9053,2.8862,1500
46742,13.1059,1.8292,14.5244,1509
46747,0.8823,-4.1946,18.919,1492
46752,-12.5899,1.1935,7.6459,1497
46757,-5.0254,6.1938,2.6803,1512
46762,11.7663,2.3284,13.0747,1495
46767,4.2844,-4.4939,18.9633,1500
46772,-11.2994,1.0415,8.6802,1523
46777,-7.4364,6.1675,2.7749,1495
46782,10.3908,2.7809,11.5448,1497
46787,7.7201,-4.5179,18.84,1491
46792,-10.3825,0.9481,9.8474,1493
46797,-9.9084,6.0597,2.9437,1495
46802,9.0082,3.219,9.9192,1503
46807,10.7859,-4.1396,18.7526,1485
46812,-9.8725,0.9146,11.3784,1497
46817,-12.3732,5.7724,3.1627,1507
46822,7.5669,3.6583,8.3366,1495
