timestamp_ms,ax,ay,az,acs_adc
38331,-15.4773,0.3603,7.0844,1549
38336,-5.2936,6.1818,3.6919,1525
38341,12.0225,6.5505,13.7942,1529
38346,9.657,-6.9564,15.773,1530
38351,-10.2759,0.9744,11.7651,1533
38356,-12.475,4.5562,4.4113,1547
38361,7.4879,6.6822,7.9571,1531
38366,12.5289,-3.3519,16.095,1544
38371,-11.2779,-1.1097,15.603,1531
38376,-13.9773,2.2877,5.1392,1531
38381,1.8483,6.8977,5.7221,1547
38386,15.6796,1.8998,15.0081,1541
38391,-2.5953,-5.2648,17.9673,1545
38396,-10.2556,0.8811,7.0174,1544
38401,-6.3758,6.8414,3.4596,1609
38406,12.3876,5.138,13.799,1532
38411,4.8662,-6.1998,16.775,1533
38416,-13.301,-0.0634,9.9204,1547
38421,-10.6805,5.0422,3.8463,1557
38426,8.2863,7.3191,10.5512,1533
38431,14.2383,-4.3371,14.6693,1517
38436,-10.2675,-0.4824,16.01,1533
38441,-12.9969,2.2877,5.4037,1501
38446,2.5702,7.0605,5.0578,1555
38451,13.7894,0.4836,15.8125,1530
38456,-5.9424,-3.7445,17.7769,1581
38461,-14.3688,0.6237,6.535,1527
38466,-3.5973,6.7289,4.0187,1546
38471,13.143,5.3427,14.5591,1527
38476,5.5294,-6.9887,16.3081,1508
38481,-9.7875,0.753,9.7624,1531
38486,-11.3294,5.3103,4.1946,1531
38491,9.2213,6.523,10.1849,1545
38496,10.9774,-4.64,15.6629,1497
38501,-11.4251,-0.5303,14.1437,1543
38506,-13.4159,2.8467,4.8207,1531
38511,4.2689,7.2724,6.9899,1553
38516,15.3241,-0.1209,14.5807,1567
38521,-6.444,-3.5398,18.2079,1559
38526,-11.1115,0.6165,6.2644,1545
38531,-3.2214,6.9719,3.65,1543
38536,12.8796,4.2509,14.8069,1508
38541,1.3515,-5.9484,17.4166,1525
38546,-12.7958,-0.2334,8.5317,1559
38551,-8.8454,5.6312,3.8283,1525
38556,10.3418,7.2544,12.2009,1551
38561,11.6646,-5.8167,14.9087,1533
38566,-10.5321,0.1951,14.0133,1563
38571,-13.4231,3.1927,5.1415,1531
38576,5.5641,7.082,6.6595,1548
38581,13.2974,-1.4317,15.3109,1519
38586,-8.7197,-2.3224,17.3532,1525
38591,-13.951,1.0068,6.0142,1545
38596,-0.5878,7.0318,4.4939,1541
38601,14.2299,3.6152,14.7231,1563
38606,0.674,-6.0166,17.413,1529
38611,-9.5529,0.4094,8.1068,1561
38616,-9.1183,6.2824,3.7601,1527
38621,11.0169,6.0322,12.4403,1549
38626,8.1439,-5.618,15.925,1523
38631,-11.8381,-0.1879,11.9578,1531
38636,-12.5588,3.984,4.367,1547
38641,7.0545,7.3634,8.7759,1531
38646,14.5759,-2.6767,14.5591,1541
38651,-9.2404,-1.4581,17.2275,1528
38656,-12.4247,1.3815,5.7389,1549
38661,0.3508,7.1275,4.2174,1531
38666,13.532,2.0446,15.627,1547
38671,-2.7414,-4.6088,17.6429,1542
38676,-13.0879,0.2861,7.355,1549
38681,-5.9484,6.4631,3.5506,1541
38686,12.2918,5.9987,13.884,1529
38691,7.9559,-6.5422,15.8568,1541
38696,-9.8988,0.5794,11.23,1533
38701,-12.6893,4.5981,4.4197,1549
38706,7.8973,6.3111,8.5856,1531
38711,12.0811,-3.3052,15.7622,1528
38716,-11.2276,-1.0942,15.439,1528
38721,-13.5488,2.0255,5.3115,1541
38726,2.8491,7.1239,5.7102,1525
38731,15.2822,1.0271,15.1733,1525
38736,-4.2114,-4.3479,18.178,1598
38741,-10.4507,0.5351,6.6511,1544
38746,-5.5833,6.7289,3.1412,1532
38751,12.3625,4.7381,14.4837,1529
38756,4.1647,-5.8167,16.8911,1549
38761,-12.5588,0.1137,9.5624,1531
38766,-10.3621,5.193,3.717,1548
38771,9.3673,7.003,10.9559,1531
38776,13.2806,-4.81,15.0272,1527
38781,-10.6554,0.0563,15.1804,1541
38786,-13.4003,2.6588,5.2241,1528
38791,3.4931,6.6056,5.1056,1533
38796,13.8098,0.0443,16.4793,1530
38801,-7.0844,-3.0538,17.7075,1550
38806,-13.8636,0.808,6.3015,1549
38811,-2.5654,6.7169,3.7565,1533
