file,group,dataset_type,fault_id,fault_description,iteration,segment,window_id,start_time_s,end_time_s,is_transient_event,label_origin,label_rationale,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ax_skew,ax_kurt,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,ay_skew,ay_kurt,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,az_skew,az_kurt,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acc_mag_crest,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz,order_1x_energy,order_2x_energy,order_3x_energy,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,acs_dI_dt_slope,acs_dI_dt_max,rpm_to_current_ratio,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,rpm_valid_fraction,rpm_invalid_samples
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,HEALTHY,Baseline/recovery region of fault run,1,0,0,0.0,0.995,False,relabelled_healthy,Outside transient fault interval,-0.946782,2.9980214992851537,2.9980214992851537,4.1457180000000005,8.0745,1.3828179687799114,0.015711203101136682,-1.6708374456863566,1.511756,1.6796087678873315,1.6796087678873315,2.973456,5.1835,1.7703265527365122,-0.34799870096352115,-1.3280857605693186,10.861867499999999,1.1105906878295668,1.1105906878295668,1.8321674999999988,3.6560000000000006,1.6497234490418908,0.043505543173990635,-1.2000628396420907,3.611458181847569,0.8929769350901292,4.650044592454599,3.309765687369447,1.2875809045297333,1.0,174.25048390081352,36643.28233418825,40.82289132681638,77.90884453882464,5419.85155296451,0.0,1414.6,37.0677757627835,1415.0855733841681,1383.0,1925.0,542.0,-14.458861471535942,104800.0,2.059707161965084,2914.66395,2914.46,0.6799455106845098,2913.33,2917.01,3.680000000000291,0.02332843587970098,-0.9326288157183386,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,HEALTHY,Baseline/recovery region of fault run,1,0,1,1.0,1.995,False,relabelled_healthy,Outside transient fault interval,-0.9158055000000002,2.9746967957793196,2.974696795779319,4.1754945,8.111600000000001,1.4036706214644954,0.004726453250564408,-1.6538761096795336,1.5064049999999998,1.6915552237733773,1.6915552237733773,2.9118049999999998,5.1523,1.7213774395757493,-0.3520213270174456,-1.3060932712405153,10.871374500000002,1.1160736082802738,1.1160736082802738,1.906274500000002,3.7613000000000003,1.708018616206978,-0.024617558380494044,-1.206606397919136,3.5994166751009113,0.9332410787046259,4.692417068473932,3.4013302778570136,1.3036604239053202,1.0,174.34955862195227,36709.45281736674,41.07531084200658,95.63711257495413,5447.667582405614,0.0,1412.35,8.355088270030425,1412.3747130276724,1400.0,1435.0,35.0,0.06690167254305263,5800.0,2.0647590602847354,2916.2155500000003,2915.88,1.0392895157269868,2914.6,2918.0,3.400000000000091,0.03563829552061015,3.4079696992455393,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,HEALTHY,Baseline/recovery region of fault run,1,0,2,2.0,2.995,False,relabelled_healthy,Outside transient fault interval,-0.9201095000000001,3.0267914957525157,3.0267914957525157,4.195090499999999,8.1558,1.385985954396579,-0.0032432418503592856,-1.667829423477195,1.5381295,1.6729363938834465,1.6729363938834465,2.9698295,5.1439,1.775219614360848,-0.3519556821602912,-1.3196084140482967,10.854011499999999,1.1213101779693921,1.1213101779693921,1.8447885000000017,3.6715,1.645208022048613,0.039466404672600715,-1.1825514812439284,3.6355906606708692,0.9070360916276045,4.754056774891603,3.407323907247558,1.307643576687576,1.0,175.40627641643582,37184.80183321998,41.21885370955572,133.06862494112016,5512.148833660837,0.0,1411.93,8.180776246787342,1411.9536996658212,1397.0,1435.0,38.0,-0.4800120003009875,5600.0,2.0674267741669685,2919.1129499999997,2919.14,0.48770667157630254,2917.86,2920.42,2.5599999999999454,0.016707358705537672,1.1358808970251484,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,HEALTHY,Baseline/recovery region of fault run,1,0,3,3.0,3.995,False,relabelled_healthy,Outside transient fault interval,-0.9661869999999999,2.9957495060053,2.9957495060053,4.141813,8.1247,1.3825631921818875,0.023441006419428173,-1.6298867034791158,1.5045134999999998,1.6876146151499607,1.6876146151499607,2.9231135,5.1332,1.7320977631734087,-0.3244537147794898,-1.335375784768293,10.863911499999999,1.1296941674266314,1.1296941674266314,1.8880114999999993,3.7433000000000014,1.6712589605563464,-0.01875315942373622,-1.205924655375461,3.6192218920531105,0.9545857627822235,4.715730365986111,3.4105717429890823,1.3029680154015022,1.0,176.10806963592225,37345.52790740044,40.78894391789517,52.906029032727574,5442.872966363593,0.0,1412.435,9.09317188884055,1412.4642703445634,1381.0,1447.0,66.0,1.9312982824592153,9200.0,2.0668506060243446,2919.3547000000003,2919.57,0.7825106452950142,2917.72,2920.7,2.980000000000018,0.0268042333223508,-2.3804035100861567,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,HEALTHY,Baseline/recovery region of fault run,1,0,4,4.0,4.995,False,relabelled_healthy,Outside transient fault interval,-0.908149,3.0099686856010646,3.0099686856010646,4.143651,8.1224,1.3766425610413118,-0.006323611532999209,-1.672035972632937,1.5292,1.6818171708898682,1.6818171708898682,2.9764999999999997,5.1667,1.7698118746314742,-0.34779716495409274,-1.3199637154931634,10.864299999999998,1.0991862622867883,1.0991862622867883,1.8680999999999983,3.653600000000001,1.6995299742134087,0.025260828129367398,-1.1716640690858062,3.6189267640833793,0.9057207813355426,4.782619528041198,3.4719034300241622,1.3215574229097629,1.0,174.41564529714856,36715.29891806806,40.93262902438762,131.26848953351498,5382.485473060613,0.0,1411.26,8.369133766406174,1411.2848153367202,1389.0,1435.0,46.0,1.5420385509631986,7200.0,2.066086556183736,2915.8386499999997,2916.44,2.087855042262298,2912.62,2919.42,6.800000000000182,0.07160392919074238,-6.30788719717792,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,F1,Repeated load-switch response,1,0,5,5.0,5.995,True,inferred_event,First 0.4A to 0.8A transition and immediate response,-0.9356699999999999,2.816481652327954,2.816481652327954,4.14243,8.0673,1.470781816233771,0.02762875868153431,-1.6124700375074508,1.5151875000000001,1.6626778515075462,1.6626778515075462,2.9001875000000004,5.1343,1.7442870832557293,-0.3231139307396075,-1.3148965863053723,10.863388500000001,0.999218669670333,0.999218669670333,1.8216885000000005,3.6008999999999993,1.8231129534449357,0.01626501657726384,-0.9686301778435817,3.4198690743377154,0.9620845706854154,4.6789149353336725,4.018653597688874,1.3681561585043374,1.0,176.7981177161326,37586.866191740766,41.85387122955942,82.9951538228987,5237.7951338450775,0.0,1417.38,12.91609848212687,1417.4388487691454,1373.0,1453.0,80.0,26.32685817145371,6800.0,2.034262937156651,2883.4453500000004,2915.03,52.349155044542044,2787.46,2916.16,128.69999999999982,1.8155070996765044,-142.04808970223777,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,F1,Repeated load-switch response,1,0,6,5.25,6.245,True,inferred_event,First 0.4A to 0.8A transition and immediate response,-0.9285889999999999,2.660348756362406,2.660348756362406,4.149511,8.0673,1.5597620387462963,0.05056443351688632,-1.5851604143437588,1.53494,1.6328669368628907,1.6328669368628907,2.91994,5.1822,1.7882289940966467,-0.2988514662067229,-1.3283842852387646,10.8552025,0.8943748634346506,0.8943748634346507,1.8099025000000015,3.5973000000000006,2.0236509029887846,0.08813767291735423,-0.7457908586717439,3.247093521185177,0.9560331760086456,4.690999211471609,4.0951869259090765,1.444676348514721,1.0,155.6659459568891,30400.04805102886,45.95515849441648,115.40582761313522,3775.7403594173866,0.0,1423.285,14.04897772081656,1423.3543357154606,1373.0,1453.0,80.0,34.93992349808757,6800.0,2.003821764272479,2852.1504000000004,2841.46,60.88538132294155,2787.46,2916.16,128.69999999999982,2.1347184679651376,-188.14128253207087,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,F1,Repeated load-switch response,1,0,7,5.5,6.495,True,inferred_event,First 0.4A to 0.8A transition and immediate response,-0.9300125,2.4591585069274715,2.4591585069274715,4.1217875,8.041,1.6760967169822065,0.08774184047165459,-1.5972506788524166,1.5186345,1.6230818637270734,1.6230818637270734,2.8953345,5.1739,1.783849949103282,-0.27793275418596,-1.3328690777118979,10.861533,0.7809500599980769,0.7809500599980769,1.743233,3.4703999999999997,2.232195231541813,0.019528891834982846,-0.6807312976109712,3.0482352754937567,0.9213948742016839,4.643439623149579,4.060180960345931,1.5233206112666053,1.0,134.271658495716,23595.537319923857,45.53142229383802,183.08369317613577,4219.054933824207,0.0,1429.23,12.880104813238129,1429.2880360515162,1373.0,1459.0,86.0,25.71184279607043,6800.0,1.9741264214793153,2821.59725,2793.56,51.225254327699545,2787.46,2915.59,128.1300000000001,1.8154700968644462,-134.913830345759,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,F1,Repeated load-switch response,1,0,8,5.75,6.745,True,inferred_event,First 0.4A to 0.8A transition and immediate response,-0.9117385,2.3029804819337376,2.3029804819337376,3.1311384999999996,6.087199999999999,1.3596027081266815,0.10942598660799799,-1.7322780441846264,1.528958,1.6035119623301848,1.6035119623301848,2.776358,5.0446,1.7314233165840958,-0.27538955388678815,-1.3347859524300882,10.865636,0.6563550122487067,0.6563550122487068,1.162863999999999,2.2349999999999994,1.7716997330697082,0.15445418280716122,-1.252623710552902,2.881973562614298,0.8529804029187229,3.8208188893668136,3.312648884208845,1.3257647255795328,1.0,137.63686292684906,24403.60378479788,42.65996844127623,201.36836131448695,4196.898813701677,0.0,1434.395,8.2370489254344,1434.418650534076,1401.0,1459.0,58.0,0.024450611265575822,6000.0,1.94716936494844,2793.058,2793.3,5.9579572002491075,2787.46,2826.46,39.0,0.21331304972002396,-0.6082622065605964,1.0,0
F1_repeat_cc_0.4_0.8A_1.csv,F1_repeat_cc_0.4_0.8A_1.csv,fault,F1,Repeated load-switch response,1,0,9,6.0,6.995,True,inferred_event,First 0.4A to 0.8A transition and immediate response,-0.9329814999999999,2.2914354279158187,2.2914354279158187,3.1799815,6.0646,1.3877683225367432,0.12610391241155494,-1.7226379277089838,1.516939,1.6038881368346734,1.6038881368346734,2.764339,5.044600000000001,1.7235235653376146,-0.2756917864721775,-1.3257141053834667,10.860680000000002,0.665972382835805,0.665972382835805,1.1678199999999972,2.2349999999999994,1.7535561985727603,0.1542038137353448,-1.2732690082270777,2.8751787232251753,0.8555648041532656,3.838914432266399,3.324583370630756,1.3351915834853467,1.0,138.33649800067766,24561.020093257288,42.380497627605685,189.94484982501396,4190.5171089818605,0.0,1434.345,7.872482137166142,1434.3666041148615,1401.0,1459.0,58.0,-1.8799969999229946,6000.0,1.947066597145732,2792.80925,2793.625,1.9538285332904752,2787.97,2795.12,7.150000000000091,0.06995925458534182,5.326343658594512,1.0,0
