file,iteration,window,start_time_s,load_A,load_voltage_V,psu_current_A,load_power_W,supply_voltage_V,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_valid_fraction,rpm_zero_fraction,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
healthy_cc_09A_2.csv,2,14,14.011,0.9,8.77,1.62,7.88,12.0,-0.916945,2.229794666953664,2.229794666953664,3.5207550000000003,6.798400000000001,1.5789592881258618,1.5395585,1.6977462466834525,1.6977462466834525,2.9784585000000003,5.3223,1.7543602324660823,10.819862,0.9708841611417914,0.9708841611417914,1.548362000000001,3.0382999999999996,1.5947958180500923,2.965964030337986,0.8489491724254018,3.931225656483134,3.2643130733875307,1471.3,53.880330362758535,1472.2862425493215,1451,2219,768,2829.4622499999996,2830.06,1.927931128826975,2824.99,2833.13,8.140000000000327,0.06813772224128367,1.0,0.0,94.0,51.32826628208911,5402.371334015774,66.88553653004277
healthy_cc_09A_2.csv,2,15,15.011,0.9,8.77,1.62,7.88,12.0,-1.0053015000000003,2.4290684218744745,2.4290684218744745,14.2421985,17.599800000000002,5.863234798882082,1.5246215,1.7073174977395826,1.7073174977395826,2.9791214999999998,5.3235,1.744913587510368,10.851192999999999,1.0626475625300233,1.0626475625300233,6.0806070000000005,7.642299999999999,5.722129532319144,3.15349429655208,1.2540376449616026,15.700432343649442,15.022211263828487,1469.66,10.186972072210663,1469.6953051568205,1451,1500,49,2827.8119999999994,2827.65,0.7266133772509425,2826.46,2829.25,2.7899999999999636,0.02569525050643192,1.0,0.0,94.0,52.47545109421055,5377.151765203438,67.47225490587722
healthy_cc_09A_2.csv,2,16,16.016,0.9,8.77,1.62,7.88,12.0,-0.935847,2.2192789483052824,2.2192789483052824,3.4299530000000003,6.7313,1.5455258576751834,1.5342815,1.695559422375916,1.695559422375916,2.9743815,5.356999999999999,1.7542183781634288,10.813494500000001,0.9594905175246653,0.9594905175246653,1.5646945000000017,3.009500000000001,1.6307555639389408,2.9530903911696473,0.8338997407051362,3.9154479242714366,3.2681695795220556,1468.585,9.87080417190008,1468.61817195621,1455,1501,46,2826.6708000000003,2826.59,0.6704709986270939,2825.52,2828.32,2.800000000000182,0.023719458191845115,1.0,0.0,94.0,52.7011248833343,5421.724221576829,67.1006339425544
healthy_cc_09A_2.csv,2,17,17.016,0.9,8.77,1.62,7.88,12.0,-0.9418209999999999,2.208362488487567,2.208362488487567,3.502979,6.7839,1.5862336995223425,1.540007,1.697344982657032,1.6973449826570317,2.981307,5.3247,1.7564531845099918,10.809774000000003,0.9615965732696846,0.9615965732696845,1.5130740000000031,2.9724000000000004,1.5735018635259364,2.9466103984806002,0.8558266113293805,3.9290373246084087,3.2762793103596386,1468.53,10.095003714709568,1468.5646972469413,1452,1501,49,2826.2780000000002,2826.06,0.7589598144829504,2825.12,2827.92,2.800000000000182,0.026853685818696897,1.0,0.0,94.0,53.08442275371945,5365.662009044311,67.01240692375404
healthy_cc_09A_2.csv,2,18,18.016,0.9,8.77,1.62,7.88,12.0,-0.9294615,2.2199860288001254,2.2199860288001254,3.4519385000000002,6.708600000000001,1.5549370379892569,1.5384425,1.697051629310007,1.697051629310007,2.9426425,5.3187,1.7339734685599573,10.813625,0.9695393856234,0.9695393856234,1.5361250000000002,3.0562000000000005,1.5843863826246662,2.9577573972329945,0.8446995807299731,3.8902168164529725,3.168707472359981,1468.855,10.35103738762449,1468.8914714845341,1452,1500,48,2828.9850500000002,2828.59,2.3263030751602356,2826.06,2834.6,8.539999999999964,0.08223101338624025,1.0,0.0,94.0,54.26864685806439,5564.795507182381,65.04641751168226
healthy_cc_09A_2.csv,2,19,19.016,0.9,8.77,1.62,7.88,12.0,-0.8221075,2.5497337732582492,2.5497337732582492,17.7539075,21.319200000000002,6.963043626830369,1.413756,2.794532401630727,2.794532401630727,31.411856,33.922200000000004,11.240469418665485,10.696947999999999,1.4384039810484397,1.4384039810484397,10.698148,12.318200000000001,7.437512785665551,4.047166869669911,2.6472740542041397,37.59023738340044,36.797679216326095,1468.805,10.149235192860592,1468.8400644726437,1452,1498,46,2828.90515,2829.12,1.1477713088851942,2827.12,2830.86,3.7400000000002365,0.04057298665122067,1.0,0.0,93.0,48.444379225417286,119997.23987546642,51.31070141841034
healthy_cc_09A_2.csv,2,20,20.021,0.9,8.77,1.62,7.88,12.0,-0.9444130000000002,2.22771943429396,2.22771943429396,3.4932870000000005,6.7685,1.568100069615428,1.5607575000000002,1.6720605159932909,1.6720605159932909,2.9853575,5.3283000000000005,1.7854362754487643,10.8151865,0.9608478182666338,0.9608478182666337,1.5292864999999995,2.9868000000000006,1.5916011577762932,2.9464807443698833,0.8543335275761288,3.9300467089409383,3.20029343696643,1472.28,52.21859438935521,1473.2057493778661,1453,2195,742,2911.6599499999998,2828.59,473.08416869463895,2827.79,5867.97,3040.1800000000003,16.24791963411246,1.0,0.0,94.0,52.465794680686315,5660.084637467096,64.90637202107345
healthy_cc_09A_2.csv,2,21,21.021,0.9,8.77,1.62,7.88,12.0,-0.95344,2.245851069527986,2.245851069527986,3.47106,6.8126999999999995,1.5455432673590053,1.5914635,1.7086848931613314,1.708684893161331,4.5903365,7.6399,2.6864733915374934,10.973802000000001,2.669948398995007,2.669948398995007,35.095398,36.7989,13.14459785560284,3.88485206203708,2.451542377015959,35.4297708636852,34.843027505191685,1469.1,10.51570254429061,1469.1376348048539,1453,1507,54,2913.9583,2831.12,473.56674714670373,2828.32,5873.14,3044.82,16.25166520559693,1.0,0.0,94.0,56.968387707606844,24774.012368645566,51.583142980630264
healthy_cc_09A_3.csv,3,0,0.0,0.9,8.76,1.61,7.85,12.0,-0.9261824999999999,2.1645417332645147,2.1645417332645147,3.5869174999999998,7.051,1.6571255914711742,1.545872,1.6762413169994348,1.6762413169994348,2.939272,5.2828,1.7534897691589302,10.80922,0.9507813899630135,0.9507813899630135,1.4958200000000001,2.915000000000001,1.5732533427670363,2.8981047460986895,0.8053809667769062,4.037229870442139,3.183647882001515,1515.04,81.32686149114572,1517.221229748648,1486,2623,1137,2816.3437,2816.37,0.8584295603017992,2815.05,2818.62,3.569999999999709,0.03048028407547698,1.0,0.0,94.0,47.34410155448623,4761.55157350606,63.356126947304645
healthy_cc_09A_3.csv,3,1,1.0,0.9,8.76,1.61,7.85,12.0,-0.9311105000000001,2.1365145062788016,2.1365145062788016,3.5699895,7.0713,1.670940913112686,1.5414339999999997,1.6645611820969513,1.6645611820969513,2.939634,5.2565,1.7660113858336886,10.811276499999998,0.9653466372229978,0.9653466372229978,1.5145764999999987,2.9293000000000013,1.568945746117648,2.87530038334806,0.8033653939162964,3.943043707140272,3.108758287383638,1508.835,21.679432072819615,1508.9907405282513,1484,1567,83,2819.249600000001,2819.28,0.7047473589875978,2817.7,2820.87,3.1700000000000728,0.024997692967220694,1.0,0.0,94.0,52.24037053573434,4986.029432247612,64.67818851029602
