dataset_type,fault_id,file,iteration,segment,window,rpm_raw_mean,rpm_raw_median,rpm_mean,rpm_median,rpm_invalid_samples,rpm_valid_fraction
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,21,3058.1648,3058.26,3058.1648,3058.26,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,0,3061.9069000000004,3061.38,3061.9069000000004,3061.38,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,1,3063.8687,3063.88,3063.8687,3063.88,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,2,3062.50945,3062.63,3062.50945,3062.63,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,3,3063.8884500000004,3064.04,3063.8884500000004,3064.04,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,4,3065.4078499999996,3065.45,3065.4078499999996,3065.45,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,5,3065.8153500000003,3065.29,3065.8153500000003,3065.29,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,6,3066.6383,3066.62,3066.6383,3066.62,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,7,3067.7703500000002,3068.11,3067.7703500000002,3068.11,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,8,3066.3885000000005,3066.54,3066.3885000000005,3066.54,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,9,3067.4995,3067.48,3067.4995,3067.48,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,10,3066.85665,3066.7,3066.85665,3066.7,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,11,3067.39685,3067.33,3067.39685,3067.33,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,12,3066.98385,3067.01,3066.98385,3067.01,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,13,3067.4309,3067.48,3067.4309,3067.48,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,14,3066.7998,3066.54,3066.7998,3066.54,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,15,3066.9199000000003,3067.01,3066.9199000000003,3067.01,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,16,3067.0658000000003,3066.86,3067.0658000000003,3066.86,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,17,3067.1402000000003,3067.17,3067.1402000000003,3067.17,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,18,3066.9209499999997,3066.86,3066.9209499999997,3066.86,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,19,3066.275,3066.07,3066.275,3066.07,0,1.0
healthy,HEALTHY,healthy_cc_01A_3.csv,3,0,20,3066.7294500000003,3066.7,3066.7294500000003,3066.7,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,0,3033.3134499999996,3033.37,3033.3134499999996,3033.37,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,1,3033.6648499999997,3033.52,3033.6648499999997,3033.52,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,2,3032.6742000000004,3032.75,3032.6742000000004,3032.75,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,3,3032.41125,3032.45,3032.41125,3032.45,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,4,3032.7471499999997,3032.91,3032.7471499999997,3032.91,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,5,3031.297,3031.22,3031.297,3031.22,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,6,3031.2607000000003,3031.22,3031.2607000000003,3031.22,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,7,3031.4279500000002,3031.53,3031.4279500000002,3031.53,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,8,3032.7592,3032.29,3032.7592,3032.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,9,3034.0469000000007,3034.13,3034.0469000000007,3034.13,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,10,3035.14915,3034.9,3035.14915,3034.9,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,11,3033.75285,3034.13,3033.75285,3034.13,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,12,3032.56275,3032.75,3032.56275,3032.75,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,13,3035.0489,3034.9,3035.0489,3034.9,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,14,3035.36245,3035.36,3035.36245,3035.36,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,15,3035.4865000000004,3035.21,3035.4865000000004,3035.21,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,16,3034.1289999999995,3034.13,3034.1289999999995,3034.13,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,17,3034.17935,3034.13,3034.17935,3034.13,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,18,3036.2570000000005,3036.205,3036.2570000000005,3036.205,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,19,3037.3053000000004,3037.51,3037.3053000000004,3037.51,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,20,3035.81755,3035.52,3035.81755,3035.52,0,1.0
healthy,HEALTHY,healthy_cc_02A_1.csv,1,0,21,3036.69515,3036.205,3036.69515,3036.205,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,0,3020.5910000000003,3020.69,3020.5910000000003,3020.69,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,1,3019.50195,3019.63,3019.50195,3019.63,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,2,3017.3559999999998,3017.35,3017.3559999999998,3017.35,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,3,3018.91495,3018.72,3018.91495,3018.72,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,4,3019.3043,3019.17,3019.3043,3019.17,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,5,3021.5377500000004,3020.84,3021.5377500000004,3020.84,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,6,3021.61105,3020.69,3021.61105,3020.69,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,7,3023.1841,3023.13,3023.1841,3023.13,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,8,3019.61565,3019.32,3019.61565,3019.32,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,9,3018.68445,3018.26,3018.68445,3018.26,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,10,3019.6276000000003,3019.48,3019.6276000000003,3019.48,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,11,3020.5664500000003,3020.54,3020.5664500000003,3020.54,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,12,3022.3801000000003,3022.67,3022.3801000000003,3022.67,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,13,3025.2507499999997,3025.11,3025.2507499999997,3025.11,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,14,3024.5714000000003,3026.02,3024.5714000000003,3026.02,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,15,3022.4883499999996,3022.67,3022.4883499999996,3022.67,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,16,3027.6461,3027.55,3027.6461,3027.55,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,17,3032.5134,3032.45,3032.5134,3032.45,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,18,3034.0914500000003,3034.44,3034.0914500000003,3034.44,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,19,3126.2547500000005,3036.44,3052.786030927835,3036.44,6,0.97
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,20,3034.4858499999996,3034.29,3034.4858499999996,3034.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,21,3034.52065,3034.9,3034.52065,3034.9,0,1.0
healthy,HEALTHY,healthy_cc_02A_2.csv,2,0,22,3046.705,3028.31,3046.705,3028.31,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,0,3032.8493,3032.29,3032.8493,3032.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,1,3034.3421999999996,3034.29,3034.3421999999996,3034.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,2,3034.9524499999998,3034.44,3034.9524499999998,3034.44,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,3,3034.97825,3034.75,3034.97825,3034.75,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,4,3033.18605,3032.75,3033.18605,3032.75,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,5,3032.8330999999994,3032.91,3032.8330999999994,3032.91,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,6,3033.0445999999997,3032.91,3033.0445999999997,3032.91,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,7,3031.37205,3031.53,3031.37205,3031.53,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,8,3032.4382499999997,3032.29,3032.4382499999997,3032.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,9,3032.3920999999996,3032.29,3032.3920999999996,3032.29,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,10,3031.23105,3031.22,3031.23105,3031.22,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,11,3031.6344,3031.68,3031.6344,3031.68,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,12,3030.59065,3030.46,3030.59065,3030.46,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,13,3031.07505,3030.92,3031.07505,3030.92,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,14,3031.3533499999994,3031.37,3031.3533499999994,3031.37,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,15,3183.0987000000005,3031.68,3031.4079792746115,3031.68,7,0.965
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,16,3031.2413,3031.37,3031.2413,3031.37,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,17,3029.6412,3029.92,3029.6412,3029.92,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,18,3029.49785,3029.39,3029.49785,3029.39,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,19,3030.0331999999994,3030.075,3030.0331999999994,3030.075,0,1.0
healthy,HEALTHY,healthy_cc_02A_3.csv,3,0,20,3028.9643500000006,3028.85,3028.9643500000006,3028.85,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,0,3008.3038,3008.27,3008.3038,3008.27,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,1,3010.9592000000002,3010.99,3010.9592000000002,3010.99,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,2,3165.184,3010.39,3020.9576683937826,3010.39,7,0.965
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,3,3011.18335,3011.29,3011.18335,3011.29,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,4,3011.211,3011.14,3011.211,3011.14,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,5,3012.2038499999994,3012.35,3012.2038499999994,3012.35,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,6,3013.251849999999,3012.425,3013.251849999999,3012.425,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,7,3009.665650000001,3008.73,3009.665650000001,3008.73,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,8,3009.9689000000003,3010.23,3009.9689000000003,3010.23,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,9,3009.2844,3009.255,3009.2844,3009.255,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,10,3010.62885,3010.54,3010.62885,3010.54,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,11,3011.8081500000008,3011.9,3011.8081500000008,3011.9,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,12,3008.6296,3007.97,3008.6296,3007.97,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,13,3007.10035,3007.37,3007.10035,3007.37,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,14,3004.9148,3004.96,3004.9148,3004.96,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,15,3004.9719999999998,3004.96,3004.9719999999998,3004.96,0,1.0
