timestamp_ms,ax,ay,az,acs_adc
1158386,-0.8392,1.4748,10.9188,1382
1158391,-0.8571,1.4868,10.9403,1382
1158396,-0.9098,1.4437,10.8697,1383
1158401,-0.8392,1.4916,10.9714,1385
1158406,-0.8679,1.5,10.9044,1381
1158411,-0.8499,1.47,10.963,1385
1158416,-0.8571,1.494,10.9056,1379
1158421,-0.8511,1.4557,10.884,1383
1158426,-0.8475,1.5179,10.9547,1383
1158431,-0.8906,1.4664,10.902,1383
1158436,-0.8404,1.4988,10.9439,1375
1158441,-0.8583,1.47,10.9188,1381
1158446,-0.8499,1.4748,10.9307,1383
1158451,-0.8739,1.4533,10.9343,1381
1158456,-0.8643,1.47,10.8733,1381
1158461,-0.8559,1.549,10.969,1380
1158466,-0.8906,1.4832,10.9056,1380
1158471,-0.8667,1.5071,10.9666,1383
1158476,-0.9074,1.4281,10.9475,1383
1158481,-0.8727,1.4856,10.9247,1387
1158486,-0.8559,1.482,10.914,1381
1158491,-0.8487,1.4545,10.8757,1387
1158496,-0.8404,1.4904,10.9176,1381
1158501,-0.8811,1.4461,10.8553,1383
1158506,-0.8152,1.4892,10.9271,1381
1158511,-0.8667,1.4928,10.9714,1379
1158516,-0.8595,1.5095,10.9499,1380
1158521,-0.8643,1.4892,10.9427,1381
1158526,-0.8356,1.4617,10.8397,1381
1158531,-0.826,1.4976,10.9463,1383
1158536,-0.8763,1.4629,10.884,1387
1158541,-0.8583,1.4916,10.9235,1381
1158546,-0.929,1.4868,10.9164,1381
1158551,-0.8559,1.4676,10.9367,1379
1158556,-0.8679,1.4808,10.9607,1383
1158561,-0.8595,1.4437,10.9164,1382
1158566,-0.8643,1.5036,11.0026,1379
1158571,-0.8727,1.4952,10.9164,1381
1158576,-0.8667,1.5167,10.9774,1383
1158581,-0.8655,1.4868,10.9116,1383
1158586,-0.8045,1.4784,10.8912,1381
1158591,-0.8464,1.4832,10.9451,1379
1158596,-0.8823,1.47,10.9104,1379
1158601,-0.8332,1.5119,10.9427,1385
1158606,-0.8559,1.4856,10.8409,1381
1158611,-0.82,1.5311,10.9559,1383
1158616,-0.8882,1.4868,10.8924,1385
1158621,-0.8344,1.5083,10.9331,1383
1158626,-0.8691,1.4832,10.9451,1385
1158631,-0.8404,1.4569,10.9511,1379
1158636,-0.832,1.4808,10.9104,1381
1158641,-0.8811,1.4976,10.8613,1383
1158646,-0.838,1.5251,10.9295,1383
1158651,-0.8631,1.4653,10.9271,1379
1158656,-0.8224,1.4916,10.8816,1381
1158661,-0.8631,1.5323,10.9547,1381
1158666,-0.8942,1.4784,10.8912,1381
1158671,-0.8392,1.4808,10.9487,1381
1158676,-0.8823,1.4808,10.884,1381
1158681,-0.8236,1.4868,10.9702,1381
1158686,-0.8871,1.4784,10.9008,1381
1158691,-0.8464,1.5107,10.9295,1383
1158696,-0.8703,1.47,10.8972,1383
1158701,-0.8703,1.4724,10.884,1385
1158706,-0.8392,1.4988,10.9439,1381
1158711,-0.8727,1.4676,10.9475,1383
1158716,-0.8691,1.5191,10.9786,1375
1158721,-0.9038,1.47,10.9164,1383
1158726,-0.8559,1.5024,10.8852,1383
1158731,-0.8631,1.4557,10.9343,1384
1158736,-0.8607,1.4688,10.8649,1383
1158741,-0.844,1.5263,10.9523,1383
1158746,-0.8535,1.4641,10.8589,1378
1158751,-0.8332,1.4868,10.9439,1379
1158756,-0.8751,1.4653,10.9235,1382
1158761,-0.8152,1.5167,10.902,1383
