dataset_type,fault_id,fault_description,file,iteration,segment,window,start_time_s,original_fault_id,label_origin,label_rationale,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz,group
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,10,10.0,HEALTHY,original_healthy,Original healthy recording,-0.9164195,3.2247879506984254,3.2247879506984254,5.0870805,9.5349,1.5774930252075143,1.4958015,1.930338522292852,1.930338522292852,3.4722015,5.8191,1.7987526332302204,10.826327999999998,2.1275196728622747,2.1275196728622747,3.249172000000001,6.1411,1.5272112598746048,4.318773448102308,0.9610423431104318,5.645715229026922,3.4499391755400213,1237.66,7.498959927883333,1237.682717823918,1215,1260,45.0,3056.3553500000003,3055.92,0.7947910904759703,3055.15,3057.64,2.4899999999997817,0.0260045380677338,-2.397661441536369,98.0,63.49224457905906,7254.74151648537,68.79564354731906,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,11,11.0,HEALTHY,original_healthy,Original healthy recording,-0.9109785,3.240017847001425,3.240017847001425,5.1224215,9.5756,1.5809855815271832,1.4967194999999998,1.9202425170456336,1.9202425170456332,3.4791194999999995,5.8275,1.8118125544646089,10.8270355,2.1624497265115203,2.162449726511521,3.2795644999999998,6.1567,1.516596876122811,4.342952428112384,0.986207778627462,5.687339900340295,3.5093534550650385,1229.39,3.924015800172063,1229.3962623987434,1213,1239,26.0,3057.49045,3057.48,1.0326849943230565,3055.77,3059.2,3.4299999999998363,0.0337755754665744,3.3716537913429123,98.0,64.56914928535663,7388.836465131609,68.89834410918817,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,12,12.0,HEALTHY,original_healthy,Original healthy recording,-0.924099,3.2101342603073477,3.2101342603073477,5.098501,9.553999999999998,1.5882516388930894,1.4981779999999998,1.928502530025823,1.928502530025823,3.481778,5.8371,1.8054308696983552,10.831869,2.164294344293077,2.164294344293077,3.2855310000000006,6.1447,1.518061075501795,4.325303918368512,1.0357570679769892,5.691664917477662,3.485268969320124,1220.865,5.997230610873656,1220.8797299488594,1199,1235,36.0,3058.4754500000004,3058.57,0.423583282838237,3057.48,3059.2,1.7199999999998,0.0138494910213595,-0.980621015525852,98.0,64.01374220149202,8247.907106284398,68.60913903927243,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,13,13.0,HEALTHY,original_healthy,Original healthy recording,-0.9118935,3.2267270206987995,3.2267270206987995,5.1083065,9.5935,1.5831232289658377,1.4978715,1.928368366686653,1.928368366686653,3.5077715,5.8622,1.819036010234444,10.822218,2.142856591882901,2.142856591882901,3.266482,6.118399999999999,1.5243586586117666,4.326916476790545,1.0002412930173734,5.6841725665991625,3.4607949047120723,1217.975,5.246367791148463,1217.9862991840262,1205,1229,24.0,3058.2823000000003,3058.42,0.4750196943285746,3057.01,3059.04,2.0299999999997453,0.0155322382871121,-0.5760744018604105,98.0,64.03109569627478,7296.555720160758,69.24769101844848,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,14,14.0,HEALTHY,original_healthy,Original healthy recording,-0.9179575,3.2199356147202307,3.2199356147202307,5.1250425,9.614,1.5916599315124187,1.4991735,1.9343943113666744,1.9343943113666744,3.5222735,5.8885000000000005,1.8208663452445064,10.828698,2.1477542850140003,2.1477542850140003,3.269601999999999,6.1148,1.522335223732861,4.326975292694367,0.9946893268251592,5.652373645196547,3.427568751343493,1216.03,5.496280560524545,1216.0424211350523,1203,1230,27.0,3058.2146999999995,3058.42,0.6699409750120005,3056.39,3059.35,2.9600000000000364,0.0219062767245216,-1.3389574739373176,98.0,64.07114264125825,7285.1247634736865,69.49347796786532,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,15,15.0,HEALTHY,original_healthy,Original healthy recording,-0.919004,3.21185353689797,3.21185353689797,5.128796,9.5888,1.5968337102175043,1.4965935,1.936676004913509,1.936676004913509,3.4981935,5.8874,1.8062874177842811,10.829748,2.1459957700088785,2.145995770008879,3.2397519999999997,6.0884,1.509673059600949,4.321112696446107,0.988369360593626,5.646754750975311,3.456961129817771,1212.18,4.774683235566523,1212.1894035174537,1199,1227,28.0,3056.85975,3056.7,0.7443617652055717,3055.77,3058.26,2.4900000000002365,0.0243505370243293,2.1297037425938585,98.0,63.68531756103862,7316.691892161382,69.2794931776048,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,16,16.0,HEALTHY,original_healthy,Original healthy recording,-0.9175555,3.2274667096609613,3.2274667096609613,5.1349445000000005,9.5696,1.5910139319576175,1.4991759999999998,1.9387034108455063,1.9387034108455063,3.521076,5.879,1.8162014779065097,10.824746500000002,2.1320986020087696,2.1320986020087696,3.2675534999999982,6.128,1.5325527144576958,4.326772090817992,0.9811008202332084,5.658981332140837,3.475067513438622,1210.185,3.234312137070262,1210.1893219657825,1199,1223,24.0,3058.3492,3058.42,0.4178281464908931,3057.48,3059.35,1.8699999999998909,0.0136618848655638,0.7414145353652692,98.0,63.69208989678224,7366.952527130129,68.8109108977563,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,17,17.0,HEALTHY,original_healthy,Original healthy recording,-0.9159675,3.232785768481071,3.232785768481071,5.150932500000001,9.6127,1.5933417395672878,1.4927445,1.9411583196817688,1.9411583196817688,3.5062445,5.8574,1.8062640560790573,10.823662,2.1266502709792223,2.1266502709792223,3.2207380000000008,6.0406,1.514465280893131,4.329161676585838,0.98102072400236,5.678998306363589,3.482220552315513,1209.99,3.99248043201216,1209.9965867720457,1191,1229,38.0,3058.82355,3058.88,0.4946866659815874,3057.32,3059.82,2.5,0.0161724485866988,-0.1068581714551731,98.0,63.41845856458106,7256.8539109109315,68.53602890782871,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,18,18.0,HEALTHY,original_healthy,Original healthy recording,-0.9055885,3.2275549199382727,3.2275549199382727,5.108611499999999,9.5277,1.5828116412338855,1.4993675000000002,1.939226335267173,1.939226335267173,3.5404675,5.8958,1.8257113342637328,10.8234235,2.125561760664166,2.125561760664166,3.237676499999999,6.0657,1.5232097979539936,4.323855032145417,0.97438426886885,5.664984808429828,3.4608701983333496,1209.595,3.839397739229423,1209.601093336146,1195,1231,36.0,3058.22635,3058.1,0.6036681021057944,3056.86,3059.66,2.799999999999727,0.0197391570478684,-1.7574334358369734,98.0,63.47710461736935,7218.436065771926,68.94614492855341,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,19,19.0,HEALTHY,original_healthy,Original healthy recording,-0.8966344999999998,3.2174943909601077,3.2174943909601077,5.142765499999999,9.526599999999998,1.598375902207987,1.4978595,1.9494231266479196,1.9494231266479196,3.5161595,5.8873,1.8036923087324408,10.826384000000004,2.15133928671049,2.15133928671049,3.225215999999998,6.040600000000001,1.499166598185227,4.333679892321709,0.9909995366777256,5.672368947405175,3.424583359279277,1209.48,3.8948170688749935,1209.4862711085232,1197,1223,26.0,3059.3270999999995,3059.35,0.6367610148242493,3057.79,3060.6,2.809999999999945,0.0208137604777288,0.957575939399188,98.0,62.99440986704472,7398.546650641974,67.20457936087655,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,20,20.0,HEALTHY,original_healthy,Original healthy recording,-0.915559,3.230993748836262,3.230993748836262,5.132241,9.5481,1.5884403991337115,1.5034835000000002,1.9413910684037232,1.9413910684037232,3.5313835,5.8826,1.8189964698372807,10.824951999999998,2.133314260978912,2.133314260978912,3.3211480000000027,6.191400000000001,1.5568020430689058,4.331206485679568,0.9858947718207998,5.707276156114864,3.4813268997846,1208.915,3.1635067567495407,1208.919139148686,1195,1223,28.0,3059.5106,3058.73,1.341594439463731,3057.95,3062.32,4.370000000000346,0.0438499686670061,-3.334349358732516,98.0,63.3502195866016,7189.404403859135,68.9251668624969,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,0,0.0,HEALTHY,original_healthy,Original healthy recording,-0.9347125000000002,3.690618764393547,3.690618764393547,5.7989875,10.6997,1.5712778453162464,1.542147,1.910923905991811,1.910923905991811,3.364147,5.6647,1.7604819268059415,10.832226999999998,2.1098242080493343,2.109824208049334,3.225373000000003,6.307600000000001,1.5287401612393408,4.660864214655448,0.8440368985921914,5.913980483142826,2.8431733599593683,1430.94,8.551397546600207,1430.9655516468592,1417,1455,38.0,3057.6747,3057.79,0.8776143287344736,3055.46,3058.88,3.4200000000000728,0.0287020175407957,-2.7467006675184087,98.0,51.89925291223811,5476.869917721252,66.1252579609046,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,1,1.0,HEALTHY,original_healthy,Original healthy recording,-0.9276555,3.6635102848319874,3.6635102848319874,5.7545445,10.7057,1.570773398351169,1.5455265,1.902773734538017,1.902773734538017,3.3663265,5.6539,1.769168051301342,10.825347499999998,2.126020667889602,2.1260206678896023,3.2836525000000023,6.5278,1.5445063867885749,4.643470617136631,0.8501773352375249,5.8535643100199,2.810451538935206,1431.045,8.432850941407656,1431.0698463038063,1417,1461,44.0,3055.92705,3055.77,0.9863806554774112,3054.21,3057.48,3.269999999999982,0.0322776244111393,2.5152463811594234,98.0,50.88928703740937,5389.05399636516,65.87232679077893,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,2,2.0,HEALTHY,original_healthy,Original healthy recording,-0.9396455,3.6628802842134696,3.6628802842134696,5.7509545,10.6949,1.5700634620208185,1.5316475,1.8906851354188376,1.8906851354188376,3.3572475,5.6874,1.7756777356036486,10.8285845,2.1844147718576137,2.1844147718576137,3.2852155,6.551699999999999,1.5039339333922703,4.66508844002804,0.8448946769974155,5.919949228622383,2.800431261008355,1430.805,8.7336690457104,1430.8316550174588,1419,1455,36.0,3057.4039500000003,3057.32,0.5685586139528545,3056.23,3058.57,2.340000000000145,0.0185961234842015,-0.8291322283056828,98.0,51.09387423987685,5320.352490828158,66.23172122839857,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,3,3.0,HEALTHY,original_healthy,Original healthy recording,-0.942073,3.639614484814429,3.639614484814429,5.755727,10.7225,1.5814111697858748,1.5283779999999998,1.9110830091380124,1.9110830091380124,3.367078,5.6694,1.761869046974945,10.8199865,2.1298994753667952,2.129899475366796,3.207613499999999,6.3003,1.5059929058143025,4.629849202841789,0.864101758785806,5.890068574277828,2.8008226867196293,1431.425,8.964060184983142,1431.4530676903105,1419,1462,43.0,3057.1174,3056.86,0.7605913751812227,3056.23,3058.73,2.5,0.0248793643051203,1.1607020175520464,98.0,51.72021321124814,5696.727857006394,64.35210458710124,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,4,4.0,HEALTHY,original_healthy,Original healthy recording,-0.942672,3.68949681175035,3.68949681175035,5.826928,10.8026,1.579328644882504,1.5372985,1.9100157499475623,1.9100157499475623,3.3376985,5.6455,1.7474717159225692,10.8299095,2.1385840180034426,2.1385840180034426,3.2467904999999995,6.326700000000001,1.518196373239133,4.672696062341687,0.8519042287962659,5.932178851710096,2.800210211433426,1430.71,8.63457584366482,1430.7360553225742,1419,1459,40.0,3058.9501,3059.66,2.243782072751274,3054.99,3062.94,7.950000000000273,0.0733513787214532,-4.303922598065846,98.0,52.21342789152323,5583.283318073131,65.69171227039715,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,5,5.0,HEALTHY,original_healthy,Original healthy recording,-0.9438415,3.674275657830772,3.674275657830772,5.735958500000001,10.7176,1.56111272919202,1.5398494999999996,1.8862748836794043,1.8862748836794043,3.3498494999999995,5.6659,1.7759073870854487,10.835731999999998,2.219302110231052,2.219302110231052,3.354668000000002,6.6319,1.51158690136637,4.68867107003717,0.8119427751369904,5.896036302321798,2.7378813666993387,1430.655,8.074402454671182,1430.677785177361,1417,1455,38.0,3057.1696,3057.17,1.5584154901693963,3054.83,3059.66,4.829999999999927,0.0509757617035507,4.953117827946429,98.0,50.50534379206087,5046.090067269041,66.03329883471291,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,6,6.0,HEALTHY,original_healthy,Original healthy recording,-0.9364335,3.670334676065352,3.670334676065352,5.7218665,10.7332,1.5589495250427456,1.538004,1.872432890488735,1.872432890488735,3.322904,5.6479,1.774645177874796,10.833911,2.261826724813154,2.261826724813154,3.318189000000002,6.606800000000001,1.467039434806445,4.70034272120563,0.801652330150731,5.873262795538716,2.695999377334418,1430.995,8.490287097619257,1431.02018678983,1417,1461,44.0,3056.4049000000005,3056.31,1.0212120201015995,3054.83,3059.35,4.519999999999982,0.0334121967970146,-0.4821480537021095,98.0,49.88566804784482,5007.819727188203,65.9717507637177,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,7,7.0,HEALTHY,original_healthy,Original healthy recording,-0.940472,3.6633479828588498,3.6633479828588498,5.662728,10.6757,1.5457794417828823,1.5345860000000002,1.8745901784134045,1.8745901784134045,3.3720860000000004,5.668200000000001,1.798839041637373,10.830065,2.2692832545707025,2.2692832545707025,3.3567350000000005,6.6522,1.4792049398148048,4.699346047057506,0.8215023521871493,5.906875402884761,2.718948882369428,1431.4,8.806247782114697,1431.4270886077293,1404,1460,56.0,3057.6748,3058.1,1.1900835937025702,3054.83,3059.66,4.829999999999927,0.0389211957302513,3.075550888771946,98.0,50.25520781688938,5028.726837847248,66.03518246811643,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,8,8.0,HEALTHY,original_healthy,Original healthy recording,-0.9360995,3.6406079335942985,3.6406079335942985,5.6958005,10.708,1.564519059424411,1.523973,1.8837248701100169,1.8837248701100169,3.331573,5.6479,1.7686091280439606,10.8329595,2.280627809882566,2.2806278098825663,3.334740500000001,6.6284,1.4622028572788963,4.690811094003946,0.8335834601590965,5.876533367544977,2.684803510544308,1431.915,8.519845949311526,1431.9403461736806,1419,1458,39.0,3058.57395,3058.42,0.8639032917520371,3057.32,3061.07,3.75,0.0282452968564659,-0.5051061276523907,98.0,49.93141978241453,4950.266028768557,65.51746761040096,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,9,9.0,HEALTHY,original_healthy,Original healthy recording,-0.9351990000000002,3.65749149170562,3.65749149170562,5.683601,10.6997,1.5539615096546766,1.5291175,1.883775376562649,1.883775376562649,3.3475175000000004,5.6731,1.777025828901247,10.830862,2.278252453560843,2.278252453560843,3.352438,6.660699999999999,1.4714953976062817,4.7027957560794365,0.8181324816980965,5.887139311970735,2.6644447080016818,1431.905,8.780431367535424,1431.9319205185698,1403,1460,57.0,3057.99045,3057.64,0.8884032291138577,3056.86,3059.66,2.799999999999727,0.0290518640800156,-2.193158328958588,98.0,50.21857838420711,4926.234239027718,66.60325282583605,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,10,10.0,HEALTHY,original_healthy,Original healthy recording,-0.936671,3.653636444168878,3.653636444168878,5.688129,10.6914,1.5568404483916638,1.534309,1.883695680203944,1.883695680203944,3.319209,5.6288,1.7620728416389613,10.8282085,2.275514216430596,2.275514216430596,3.335891499999999,6.645099999999999,1.4659945764842226,4.698439488910733,0.8119482633937518,5.891845899936136,2.7006493560055924,1431.845,8.555756833851696,1431.8705615382976,1418,1456,38.0,3057.3328,3057.32,0.4096415018036833,3056.39,3058.1,1.7100000000000364,0.0133986559069946,-0.7730833270815636,98.0,50.21067414885573,4913.520807091137,67.0336933175049,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,11,11.0,HEALTHY,original_healthy,Original healthy recording,-0.929683,3.668834634037216,3.668834634037216,5.681917,10.7667,1.548698038141766,1.532296,1.8797684510556083,1.879768451055608,3.326796,5.652799999999999,1.7697903154677348,10.828643499999998,2.287878031486327,2.287878031486327,3.351056500000002,6.6511000000000005,1.464700676295658,4.7146858737834005,0.8098949332973,5.885171758691267,2.705882646484379,1431.41,8.604760310432825,1431.4358630410236,1403,1456,53.0,3058.1307999999995,3057.79,1.186239587941639,3056.55,3060.91,4.359999999999673,0.0387896942780092,0.0762109052699165,98.0,50.69311728491347,4928.628572071289,66.42911216875339,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,12,12.0,HEALTHY,original_healthy,Original healthy recording,-0.941328,3.648502107936351,3.648502107936351,5.661872,10.5872,1.551834652276641,1.5392309999999998,1.870549947592686,1.870549947592686,3.344431,5.6706,1.787939960814269,10.8379955,2.2604639717389325,2.2604639717389325,3.3381045,6.6487,1.4767342199362987,4.681903683928659,0.7869044334653732,5.859466744044653,2.6866130828958674,1431.24,7.971348693916231,1431.262198201294,1419,1459,40.0,3054.3592499999995,3054.21,1.48998823401395,3052.19,3056.7,4.509999999999764,0.0487823504721636,-3.4374184354606543,98.0,48.34625597100913,4746.870626897575,66.2141775662047,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,13,13.0,HEALTHY,original_healthy,Original healthy recording,-0.9336975,3.607627359434973,3.607627359434973,5.6504025,10.6662,1.56623784472157,1.5352395,1.869015985830445,1.869015985830445,3.3261395,5.6348,1.779620680195586,10.836192,2.274573612204274,2.274573612204274,3.320708,6.6176,1.459925492049441,4.656380680009905,0.8338113603154147,5.849344648422633,2.6777338935174075,1431.295,10.293589024242223,1431.3320142440746,1353,1459,106.0,3054.9178500000003,3054.68,0.8038842438436388,3053.9,3057.01,3.1100000000001278,0.0263144308068263,0.0381204530115546,98.0,49.2355013105421,4874.021570494242,65.7867536401075,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,14,14.0,HEALTHY,original_healthy,Original healthy recording,-0.928467,3.636629142765454,3.636629142765454,5.631633000000001,10.58,1.5485860061379415,1.5352735000000002,1.8832087760383207,1.8832087760383207,3.3141735,5.6156,1.7598545324177912,10.8320935,2.2736625126011445,2.2736625126011445,3.3452065,6.657100000000001,1.4712854178929895,4.684131513671077,0.7873453454776462,5.87001864971769,2.708617602265233,1431.74,8.752850964114492,1431.7667547474343,1414,1465,51.0,3055.10805,3054.99,0.502134142934008,3054.06,3057.01,2.950000000000273,0.0164358881818928,1.1834140853516553,98.0,49.172086736884175,4879.422157973941,66.44798367141708,healthy_cc_01A_2.csv
healthy,HEALTHY,,healthy_cc_01A_2.csv,2,0,15,15.0,HEALTHY,original_healthy,Original healthy recording,-0.9263855000000002,3.654132328342769,3.6541323283427696,5.7283145,10.7356,1.5676264528159325,1.538718,1.874358178144188,1.874358178144188,3.339118,5.6443,1.781472740341485,10.8342785,2.28796548262594,2.28796548262594,3.3753215,6.6834,1.475250184336733,4.701136852156455,0.8140421041691861,5.957247125854063,2.760412742796895,1431.315,8.303961404052886,1431.3390880570544,1417,1455,38.0,3056.7642500000006,3056.7,1.0634610653427887,3055.46,3060.76,5.300000000000182,0.0347904181797071,0.3959543988600306,98.0,50.25940671405063,5050.207718164187,66.04178808646908,healthy_cc_01A_2.csv
